epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,640.75,1.55491,3.3933,1.88907,0.30664,0.22779,0.21624,0.10867,1.85744,3.59712,2.2787,0.000368321,0.000368321,0.000368321
2,1307.71,1.56374,2.64099,1.85625,0.3089,0.30919,0.27633,0.14465,1.85623,3.16991,2.17511,0.000728904,0.000728904,0.000728904
3,1907.62,1.58886,2.47766,1.86053,0.3968,0.34114,0.30565,0.14279,1.94918,2.88882,2.35063,0.00107971,0.00107971,0.00107971
4,2466.62,1.57167,2.32755,1.8533,0.42549,0.34394,0.36494,0.1743,1.84668,2.65382,2.19986,0.001067,0.001067,0.001067
5,2987.61,1.55719,2.17811,1.83223,0.55473,0.38629,0.41387,0.21887,1.83425,2.30992,2.10844,0.00105234,0.00105234,0.00105234
6,3557.35,1.50002,2.14108,1.78482,0.5587,0.49876,0.48849,0.25466,1.72095,1.94926,1.97509,0.00103767,0.00103767,0.00103767
7,4299.77,1.47983,2.02683,1.76506,0.63899,0.44588,0.50362,0.25893,1.72526,1.97895,2.0212,0.00102301,0.00102301,0.00102301
8,4898.73,1.45789,1.98779,1.75871,0.64925,0.42655,0.4912,0.24753,1.68852,1.9473,1.98889,0.00100834,0.00100834,0.00100834
9,5386.37,1.4453,1.93163,1.72797,0.6582,0.46222,0.50979,0.28221,1.69018,1.93053,2.00366,0.000993678,0.000993678,0.000993678
10,6093.3,1.43495,1.86502,1.72859,0.5533,0.47859,0.4978,0.26867,1.75843,1.89679,2.04282,0.000979013,0.000979013,0.000979013
11,6733.43,1.40505,1.83595,1.70758,0.5787,0.49772,0.51678,0.2658,1.7365,1.88623,2.0295,0.000964348,0.000964348,0.000964348
12,7265.21,1.41938,1.79075,1.7101,0.57116,0.4483,0.49184,0.25474,1.77354,2.05712,2.08965,0.000949683,0.000949683,0.000949683
13,7815.26,1.40024,1.76852,1.69873,0.67291,0.51464,0.58936,0.3297,1.66921,1.64016,1.92465,0.000935018,0.000935018,0.000935018
14,8353.75,1.38929,1.73295,1.68072,0.63884,0.57947,0.59312,0.33084,1.58573,1.56305,1.87461,0.000920352,0.000920352,0.000920352
15,8885.46,1.37755,1.72166,1.68153,0.70656,0.54879,0.59084,0.33843,1.63357,1.65671,1.8806,0.000905687,0.000905687,0.000905687
16,9404.79,1.35694,1.68924,1.67311,0.65255,0.56112,0.60864,0.34418,1.65262,1.61253,1.88894,0.000891022,0.000891022,0.000891022
17,9952.82,1.34308,1.64811,1.65975,0.69403,0.54975,0.63086,0.34966,1.59924,1.50516,1.88268,0.000876357,0.000876357,0.000876357
18,10490.7,1.35165,1.66293,1.67563,0.61633,0.58208,0.59666,0.32144,1.61922,1.67494,1.94935,0.000861692,0.000861692,0.000861692
